dataset_id,source_row,source_column,cell_text,resolved_text,cell_type,is_merged,merged_range
dataset_efc0d125c2b2d97c0c92652e,1,1,表1 2018年全国公安机关刑事案件分类统计表,表1 2018年全国公安机关刑事案件分类统计表,text,False,
dataset_efc0d125c2b2d97c0c92652e,1,2,,,blank,False,
dataset_efc0d125c2b2d97c0c92652e,1,3,,,blank,False,
dataset_efc0d125c2b2d97c0c92652e,2,1,案 件类别,案 件类别,text,False,
dataset_efc0d125c2b2d97c0c92652e,2,2,立案(起),立案(起),text,False,
dataset_efc0d125c2b2d97c0c92652e,2,3,比 重(%),比 重(%),text,False,
dataset_efc0d125c2b2d97c0c92652e,3,1,合 计,合 计,text,False,
dataset_efc0d125c2b2d97c0c92652e,3,2,5069231,5069231,text,False,
dataset_efc0d125c2b2d97c0c92652e,3,3,-,-,text,False,
dataset_efc0d125c2b2d97c0c92652e,4,1,杀 人,杀 人,text,False,
dataset_efc0d125c2b2d97c0c92652e,4,2,7526,7526,text,False,
dataset_efc0d125c2b2d97c0c92652e,4,3,0.15,0.15,text,False,
dataset_efc0d125c2b2d97c0c92652e,5,1,伤 害,伤 害,text,False,
dataset_efc0d125c2b2d97c0c92652e,5,2,97390,97390,text,False,
dataset_efc0d125c2b2d97c0c92652e,5,3,1.92,1.92,text,False,
dataset_efc0d125c2b2d97c0c92652e,6,1,抢 劫,抢 劫,text,False,
dataset_efc0d125c2b2d97c0c92652e,6,2,25413,25413,text,False,
dataset_efc0d125c2b2d97c0c92652e,6,3,0.50,0.50,text,False,
dataset_efc0d125c2b2d97c0c92652e,7,1,强 奸,强 奸,text,False,
dataset_efc0d125c2b2d97c0c92652e,7,2,29807,29807,text,False,
dataset_efc0d125c2b2d97c0c92652e,7,3,0.59,0.59,text,False,
dataset_efc0d125c2b2d97c0c92652e,8,1,拐卖妇女儿童,拐卖妇女儿童,text,False,
dataset_efc0d125c2b2d97c0c92652e,8,2,5397,5397,text,False,
dataset_efc0d125c2b2d97c0c92652e,8,3,0.11,0.11,text,False,
dataset_efc0d125c2b2d97c0c92652e,9,1,盗 窃,盗 窃,text,False,
dataset_efc0d125c2b2d97c0c92652e,9,2,2786804,2786804,text,False,
dataset_efc0d125c2b2d97c0c92652e,9,3,54.97,54.97,text,False,
dataset_efc0d125c2b2d97c0c92652e,10,1,其中:入室盗窃,其中:入室盗窃,text,False,
dataset_efc0d125c2b2d97c0c92652e,10,2,701155,701155,text,False,
dataset_efc0d125c2b2d97c0c92652e,10,3,13.83,13.83,text,False,
dataset_efc0d125c2b2d97c0c92652e,11,1,盗窃机动车,盗窃机动车,text,False,
dataset_efc0d125c2b2d97c0c92652e,11,2,193125,193125,text,False,
dataset_efc0d125c2b2d97c0c92652e,11,3,3.81,3.81,text,False,
dataset_efc0d125c2b2d97c0c92652e,12,1,财产诈骗,财产诈骗,text,False,
dataset_efc0d125c2b2d97c0c92652e,12,2,1156351,1156351,text,False,
dataset_efc0d125c2b2d97c0c92652e,12,3,22.81,22.81,text,False,
dataset_efc0d125c2b2d97c0c92652e,13,1,走 私,走 私,text,False,
dataset_efc0d125c2b2d97c0c92652e,13,2,3856,3856,text,False,
dataset_efc0d125c2b2d97c0c92652e,13,3,0.08,0.08,text,False,
dataset_efc0d125c2b2d97c0c92652e,14,1,伪造、变造货币出售、购买、运输、持有、使用假币,伪造、变造货币出售、购买、运输、持有、使用假币,text,False,
dataset_efc0d125c2b2d97c0c92652e,14,2,1216,1216,text,False,
dataset_efc0d125c2b2d97c0c92652e,14,3,0.02,0.02,text,False,
